business_form,projects_in_platform_category,reported_monthly_revenue_median_usd,source_url
Simple apps,241,20000,https://www.starterstory.com/data/apps-so-simple
No-code SaaS and apps,314,30000,https://www.starterstory.com/data/no-code-ideas
GPT wrappers,148,30000,https://www.starterstory.com/data/gpt-wrapper-ideas
Plugins,19,30000,https://www.starterstory.com/data/plugins
Micro-SaaS,670,40000,https://www.starterstory.com/data/micro-saas-ideas
Solo developers,237,40000,https://www.starterstory.com/data/solo-developer-ideas
Consumer iOS apps,79,40000,https://www.starterstory.com/data/consumer-ios-apps
Productized services,549,40000,https://www.starterstory.com/data/productized-services
APIs,54,80000,https://www.starterstory.com/data/1m-apis
Marketplaces,285,200000,https://www.starterstory.com/data/marketplaces
