business_form,projects_in_platform_category,share_of_2997_displayed_projects_percent,reported_monthly_revenue_median_usd,source_url
Micro-SaaS,670,22.4,40000,https://www.starterstory.com/data/micro-saas-ideas
Productized services,549,18.3,40000,https://www.starterstory.com/data/productized-services
Digital products,455,15.2,20000,https://www.starterstory.com/data/digital-product-ideas
Marketplaces,286,9.5,200000,https://www.starterstory.com/data/marketplaces
Niche blogs,254,8.5,10000,https://www.starterstory.com/data/niche-blog-ideas
Simple apps,241,8.0,20000,https://www.starterstory.com/data/apps-so-simple
GPT wrappers,149,5.0,30000,https://www.starterstory.com/data/gpt-wrapper-ideas
Consumer iOS apps,79,2.6,40000,https://www.starterstory.com/data/consumer-ios-apps
APIs,54,1.8,80000,https://www.starterstory.com/data/1m-apis
Plugins,19,0.6,30000,https://www.starterstory.com/data/plugins
