metric_id,label,input_a,input_b,formula,result,unit,scope,caveat,source
zhihu_revenue_change,"Zhihu 2025 revenue change",2749.0,3598.9,"2749.0 / 3598.9 - 1",-23.6,percent,"FY2025 versus FY2024","Company filing; revenue decline does not measure content quality","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_paid_membership_change,"Zhihu paid-membership revenue change",1538.9,1762.0,"1538.9 / 1762.0 - 1",-12.7,percent,"FY2025 versus FY2024","Company filing","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_marketing_services_change,"Zhihu marketing-services revenue change",843.9,1247.1,"843.9 / 1247.1 - 1",-32.3,percent,"FY2025 versus FY2024","Company filing","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_paid_membership_share,"Paid-membership share of revenue",1538.9,2749.0,"1538.9 / 2749.0",56.0,percent,"FY2025","Revenue mix is not a margin measure","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_sales_marketing_share,"Selling and marketing expense share of revenue",1252.3,2749.0,"1252.3 / 2749.0",45.6,percent,"FY2025","Not attributable only to community operations","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_rd_share,"Research and development expense share of revenue",525.0,2749.0,"525.0 / 2749.0",19.1,percent,"FY2025","Not attributable only to community operations","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_opex_share,"Operating expense share of revenue",2155.0,2749.0,"2155.0 / 2749.0",78.4,percent,"FY2025","Includes selling and marketing, R&D, G&A and impairment","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_opex_to_gross_profit,"Operating expense divided by gross profit",2155.0,1647.7,"2155.0 / 1647.7",130.8,percent,"FY2025","A pressure indicator, not a causal estimate of moderation cost","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_gaap_net_margin,"GAAP net margin",-195.2,2749.0,"-195.2 / 2749.0",-7.1,percent,"FY2025","The company separately reported positive adjusted non-GAAP income","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
zhihu_q4_subscribers_vs_fy_average,"Q4 monthly subscribers below FY average",12.2,13.5,"12.2 / 13.5 - 1",-9.6,percent,"Q4 2025 versus FY2025 monthly average","Different period summaries; indicates year-end run rate only","https://www.sec.gov/Archives/edgar/data/1835724/000110465926034208/tm269796d1_ex99-1.htm"
douban_jianshu_rating_ratio,"Douban China App Store ratings divided by Jianshu ratings",1590000,87000,"1590000 / 87000",18.3,ratio,"Observed 2026-08-12","Lifetime iOS ratings are not active users and differ by rating solicitation","https://apps.apple.com/cn/app/%E8%B1%86%E7%93%A3/id907002334"
zhihu_jianshu_rating_ratio,"Zhihu China App Store ratings divided by Jianshu ratings",1740000,87000,"1740000 / 87000",20.0,ratio,"Observed 2026-08-12","Lifetime iOS ratings are not active users and differ by rating solicitation","https://apps.apple.com/cn/app/%E7%9F%A5%E4%B9%8E/id432274380"
jianshu_annual_discount,"Jianshu annual membership discount versus 12 monthly purchases",188,216,"1 - 188 / 216",13.0,percent,"Observed 2026-08-12","List prices do not establish subscriber count or profitability","https://apps.apple.com/cn/app/%E7%AE%80%E4%B9%A6-%E5%88%9B%E4%BD%9C%E4%BD%A0%E7%9A%84%E5%88%9B%E4%BD%9C/id888237539"
